Baccalaureate Institution,Current Institution,Field of Study,Year,Status
James Madison University,University of Georgia,Life Sciences - Fish and Wildlife,2011,mention
University of Florida,Purdue University,Engineering - Materials,2011,mention
University of Iowa,University of Rochester,Psychology - Psycholinguistics,2011,mention
Grand Valley State University,Northwestern University,Geosciences - Geophysics,2011,mention
Clark University,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,Social Sciences - Geography,2011,mention
Grinnell College,Grinnell College,Chemistry - Physical,2011,mention
Southern Connecticut State University,Undecided,Social Sciences - Physical Anthropology,2011,mention
University of Wisconsin-Madison,University of California-Berkeley,Engineering - Chemical Engineering,2011,mention
Otterbein College,University of California-Santa Barbara,Psychology - Social,2011,mention
University of California-Berkeley,University of California-Los Angeles,Social Sciences - Sociology  (except Social Work),2011,mention
Sarah Lawrence College,Sarah Lawrence College,Life Sciences - Botany (including Plant Physiology),2011,mention
University of California-Los Angeles,Carnegie-Mellon University,Comp/IS/Eng - other (specify) - Computer Engineering,2011,mention
Grove City College,Pennsylvania State Univ University Park,Engineering - Energy,2011,mention
University of California-Irvine,University of California-Irvine,Comp/IS/Eng - Information Technology and Organizations,2011,mention
University of Chicago,University of California-San Diego Scripps Inst of Oceanography,Geosciences - Physical Oceanography,2011,mention
Youngstown State University,Yale University,Life Sciences - Pharmacology,2011,mention
Washington University,University of Chicago,Life Sciences - Immunology,2011,mention
University of Connecticut,University of California-Davis,Psychology - other (specify) - Social Neuroscience,2011,mention
Providence College,CORNELL UNIVERSITY,Psychology - Physiological,2011,mention
Carnegie-Mellon University,University of Wisconsin-Madison,Engineering - Environmental,2011,mention
University of California-Santa Cruz,University of Washington School of Medicine,Life Sciences - Genetics,2011,mention
Amherst College,University of Chicago,Geosciences - Geochemistry,2011,mention
University of Wisconsin-Madison,University of Wisconsin-Madison,Physics and Astronomy - Astrophysics,2011,mention
University of Pittsburgh,University of Pittsburgh,Psychology - Developmental,2011,mention
Purdue University,Purdue University,Engineering - Mechanical,2011,mention
University of Delaware,San Diego State University,Life Sciences - Ecology,2011,mention
Washington University,Harvard University,Life Sciences - Molecular Biology,2011,mention
California Institute of Technology,University of California-Santa Barbara,Physics and Astronomy - Theoretical Physics,2011,mention
University of Texas at Austin,University of Illinois at Urbana-Champaign,Geosciences - Hydrologic Sciences,2011,mention
Drake University,University of Colorado at Boulder,Physics and Astronomy - Astrophysics,2011,mention
California State University at Monterey Bay,California State University at Monterey Bay,Life Sciences - Environmental Sciences,2011,mention
New Mexico Institute of Mining and Technology,University of Arizona,Physics and Astronomy - Astronomy,2011,mention
University of Kentucky,University of Northern Colorado,Life Sciences - Evolutionary Biology,2011,mention
Rensselaer Polytechnic Institute,Harvard University,Engineering - Materials,2011,mention
Brown University,University of Chicago,Life Sciences - Cell Biology,2011,mention
Louisiana State University & Agricultural and Mechanical College,Louisiana State University & Agricultural and Mechanical College,Social Sciences - Physical Anthropology,2011,mention
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","HARVARD COLLEGE, PRESIDENT & FELLOWS OF",Physics and Astronomy - Solid State,2011,mention
University of Puerto Rico Mayaguez,University of California-Berkeley,"Life Sciences - other (specify) - Host-microbe interactions, microbiology",2011,mention
William Marsh Rice University,Leland Stanford Jr. University,Engineering - Bioengineering,2011,mention
UNIVERSITY OF ILLINOIS,UNIVERSITY OF ILLINOIS,Psychology - Cognitive Neuroscience,2011,mention
Brigham Young University,University of Washington,Life Sciences - Biochemistry,2011,mention
Brigham Young University,Brigham Young University,Engineering - Electrical and Electronic,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,Harvard University,Life Sciences - Evolutionary Biology,2011,mention
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Geosciences - Large-scale Dynamics Meteorology,2011,mention
University of Puerto Rico Mayaguez,Michigan Technological University,Geosciences - other (specify) - Volcanology,2011,mention
University of Texas at Austin,University of California-Los Angeles,Psychology - Social,2011,mention
Massachusetts Institute of Technology,University of California-Santa Cruz,Physics and Astronomy - Astrophysics,2011,mention
University of Chicago,"Oregon Health & Science University, West Campus","Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
Cornell University,University of Chicago,Social Sciences - Cultural Anthropology,2011,mention
Ohio University,Ohio University,Engineering - Electrical and Electronic,2011,mention
Boston University,"Scripps Institution of Oceanography, UCSD",Life Sciences - Marine Biology,2011,mention
University of Michigan Ann Arbor,University of Colorado at Boulder,Physics and Astronomy - Atomic and Molecular,2011,mention
Washington University,Washington University,Engineering - Aeronautical and Aerospace,2011,mention
Wesleyan University,University of California-Irvine,Social Sciences - Political Science,2011,mention
Massachusetts Institute of Technology,University of California-San Francisco,Life Sciences - Neurosciences,2011,mention
SUNY at Buffalo,SUNY at Buffalo,Engineering - Electrical and Electronic,2011,mention
University of California-Santa Barbara,University of California-Berkeley,Life Sciences - Cell Biology,2011,mention
University of Michigan,University of Colorado at Boulder,Engineering - Chemical Engineering,2011,mention
University of Chicago,University of California-Berkeley,Life Sciences - Cell Biology,2011,mention
University of Rochester,University of North Carolina at Chapel Hill,Life Sciences - Cell Biology,2011,mention
College of William and Mary,University of North Carolina at Chapel Hill,Life Sciences - Genetics,2011,mention
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF",Harvard University,Geosciences - Atmospheric Chemistry,2011,mention
University of California-Riverside,University of California-Riverside,Life Sciences - Ecology,2011,mention
Vanderbilt University,University of California-Davis,Engineering - Biomedical,2011,mention
Brown University,University of Texas at Austin,Engineering - Mechanical,2011,mention
Brigham Young University,Brigham Young University,Mathematical Sciences - Analysis,2011,mention
Arizona State University,Arizona State University,Geosciences - Chemical Oceanography,2011,mention
Northwestern University,PRINCETON UNIVERSITY,Social Sciences - Sociology  (except Social Work),2011,mention
Massachusetts Institute of Technology,Northwestern University,Engineering - Materials,2011,mention
Temple University,New York University Medical Center,Life Sciences - Developmental Biology,2011,mention
Saint Olaf College,University of Minnesota-Twin Cities,Life Sciences - Environmental Sciences,2011,mention
Wesleyan University,New York University,Psychology - Social,2011,mention
University of Pennsylvania,Columbia University,Social Sciences - Economics (except Business Administration),2011,mention
Harvey Mudd College,Massachusetts Institute of Technology,Chemistry - Inorganic,2011,mention
California Institute of Technology,California Institute of Technology,Engineering - Chemical Engineering,2011,mention
Harvey Mudd College,Stanford University,Chemistry - Organic,2011,mention
Willamette University,Wageningen Agricultural University,Life Sciences - Ecology,2011,mention
Cornell University,Purdue University,Chemistry - Theoretical,2011,mention
University of Texas at Austin,University of Texas at Austin,Social Sciences - Linguistics,2011,mention
California State University-Northridge,University of Rhode Island,Psychology - other (specify) - Behavioral Science,2011,mention
Imperial College London,Imperial College London,Physics and Astronomy - Plasma,2011,mention
Washington State University,Washington State University,Life Sciences - Botany (including Plant Physiology),2011,mention
University of Mary Washington,University of California-Riverside,Psychology - Social,2011,mention
University of Pittsburgh,University of Pittsburgh,Engineering - Bioengineering,2011,mention
University of Alabama at Birmingham,University of Alabama at Birmingham,Engineering - Mechanical,2011,mention
San Francisco State University,University of California-Davis,Life Sciences - Cell Biology,2011,mention
University of Connecticut,Rensselaer Polytechnic Institute,Engineering - Biomedical,2011,mention
University of Texas at Austin,University of Texas at Austin,Chemistry - Biophysical,2011,mention
Kalamazoo College,Colorado State University,Chemistry - Organic,2011,mention
Case Western Reserve University,University of Arizona,Physics and Astronomy - Atomic and Molecular,2011,mention
Massachusetts Institute of Technology,Stanford University,Mathematical Sciences - Topology,2011,mention
Stanford University,University of California-San Francisco,Life Sciences - Cell Biology,2011,mention
University of California-Irvine,University of California-Berkeley,Chemistry - Inorganic,2011,mention
University of California-Irvine,Boston University,Chemistry - Organic,2011,mention
University of Saint Thomas,University of Texas Southwestern Medical Center at Dallas,Life Sciences - Biophysics,2011,mention
California Institute of Technology,University of Pennsylvania,Engineering - Chemical Engineering,2011,mention
University of California-Los Angeles,Stanford University,Life Sciences - Biophysics,2011,mention
University of Oklahoma Norman Campus,JOHNS HOPKINS UNIVERSITY,Engineering - Bioengineering,2011,mention
